product_id,product_name,brand,package_quantity,package_unit,product_category,from_date,to_date,percentage_of_discount
P001,lapte zuzu,Zuzu,1,l,lactate,5/1/2025,5/7/2025,8
P010,brânză telemea,Proxi,0.3,kg,lactate,5/1/2025,5/7/2025,12
P019,piept pui,Avicola,1,kg,carne,5/2/2025,5/8/2025,10
P024,apă plată,Aqua Carpatica,2,l,băuturi,5/3/2025,5/9/2025,5
P036,cafea măcinată,Tchibo,0.25,kg,cafea,5/4/2025,5/10/2025,15
P039,detergent lichid,Dero,2.5,l,produse de menaj,5/1/2025,5/7/2025,20
P042,șampon păr gras,Schauma,400,ml,îngrijire personală,5/2/2025,5/8/2025,10
P054,ciocolată neagră 70%,Poiana,100,g,gustări,5/3/2025,5/9/2025,10
P007,ouă mărimea M,Din Ogradă,10,buc,ouă,5/4/2025,5/10/2025,6
P027,banane,Generic,1,kg,legume și fructe,5/1/2025,5/7/2025,7
