product_id,product_name,brand,package_quantity,package_unit,product_category,from_date,to_date,percentage_of_discount
P051,lapte UHT 3.5%,Metro Chef,1,l,lactate,5/25/2025,6/2/2025,5
P052,iaurt natural 3%,ARO,400,g,lactate,5/26/2025,6/1/2025,7
P053,ouă M,Metro Chef,10,buc,ouă,5/27/2025,6/3/2025,11
P054,brânză feta,Metro Chef,300,g,lactate,5/28/2025,6/4/2025,10
P056,roșii rondele,Generic,500,g,legume și fructe,5/25/2025,6/1/2025,6
P058,penne rigate,ARO,500,g,paste făinoase,5/26/2025,6/3/2025,4
P059,zahăr brun,Fine Life,1,kg,alimente de bază,5/27/2025,6/2/2025,8
P060,apă minerală carbogazoasă,Metro Chef,2,l,băuturi,5/28/2025,6/4/2025,5
P061,cafea boabe,Metro Chef,1,kg,cafea,5/25/2025,6/1/2025,13
P063,smântână 20%,ARO,200,g,lactate,5/27/2025,6/3/2025,9
P064,unt 65%,Fine Life,250,g,lactate,5/26/2025,6/2/2025,10
P066,hârtie igienică reciclată,ARO,8,role,produse de menaj,5/28/2025,6/4/2025,12
P067,detergent lichid color,Fine Life,2,l,produse de menaj,5/25/2025,6/1/2025,15
P069,iaurt grecesc,Carrefour,600,g,lactate,5/27/2025,6/3/2025,7
P070,cereale cu ciocolată,ARO,375,g,mic dejun,5/26/2025,6/2/2025,6
P086,lapte proaspăt 3.5%,Carrefour,1,l,lactate,5/25/2025,6/1/2025,8
P087,iaurt grecesc,Carrefour,400,g,lactate,5/28/2025,6/4/2025,10
P088,ouă bio,Carrefour Bio,6,buc,ouă,5/26/2025,6/2/2025,18
P090,pâine integrală felii,Carrefour,500,g,panificație,5/27/2025,6/3/2025,9
P092,piept pui file,Carrefour,1,kg,carne,5/25/2025,6/1/2025,20
P093,spaghetti nr.3,Carrefour,500,g,paste făinoase,5/28/2025,6/4/2025,5
P094,zahăr tos,Carrefour,1,kg,alimente de bază,5/26/2025,6/2/2025,4
P095,apă plată,Carrefour,2,l,băuturi,5/27/2025,6/3/2025,3
P115,lapte bio 3.5%,Gusturi Românești,1,l,lactate,5/28/2025,6/4/2025,21
P125,cafea capsule espresso,Jacobs,100,g,cafea,5/26/2025,6/1/2025,17
