product_id,product_name,product_category,brand,package_quantity,package_unit,price,currency
P026,lapte UHT 1.5%,lactate,Zuzu,1,l,6.05,RON
P151,roșii prunișoare,legume și fructe,Generic,1,kg,10,RON
P029,roșii prunișoare,legume și fructe,Generic,500,g,7.25,RON
P030,piept de curcan,carne,Aldis,1,kg,28.1,RON
P031,paste penne,paste făinoase,Barilla,500,g,5.5,RON
P033,apă minerală,băuturi,Borsec,2,l,3.1,RON
P034,cafea instant,cafea,Nescafé,200,g,23.25,RON
P036,smântână 12%,lactate,LaDorna,200,g,4.25,RON
P148,smântână 12%,lactate,LaDorna,1000,g,10,RON
P039,detergent capsule,produse de menaj,Ariel,20,buc,32.2,RON
P040,iaurt Activia căpșuni,lactate,Danone,120,g,2.6,RON
P149,iaurt Activia căpșuni,lactate,Danone,250,g,5,RON
P054,brânză feta,lactate,Metro Chef,300,g,10.6,RON
P055,baghetă albă,panificație,Fine Life,400,g,3.65,RON
P057,carne tocată porc/carne vită,carne,Metro Chef,1,kg,23.4,RON
P058,penne rigate,paste făinoase,ARO,500,g,3.05,RON
P060,apă minerală carbogazoasă,băuturi,Metro Chef,2,l,3.1,RON
P150,napolitane cu ciocolată,gustări,Fine Life,250,g,7,RON
P062,napolitane cu ciocolată,gustări,Fine Life,180,g,5.1,RON
P063,smântână 20%,lactate,ARO,200,g,3.8,RON
P064,unt 65%,lactate,Fine Life,250,g,7.1,RON
P066,hârtie igienică reciclată,produse de menaj,ARO,8,role,14.8,RON
P068,iaurt cu fructe pădure,lactate,Fine Life,300,g,3.3,RON
P070,cereale cu ciocolată,mic dejun,ARO,375,g,6.3,RON
P072,săpun solid,îngrijire personală,Metro Chef,4,buc,5.25,RON
P073,cârnați afumați,carne,Metro Chef,400,g,13.25,RON
P075,pesmet alb,alimente de bază,Fine Life,500,g,3.35,RON
P152,săpun solid,îngrijire personală,Metro Chef,6,buc,7.5,RON
P077,apă plată,băuturi,Fine Life,8,l,7.4,RON
P078,ceapă galbenă,legume și fructe,Generic,1,kg,2.59,RON
P082,șampon păr normal,îngrijire personală,ARO,500,ml,6.1,RON
